FksB data obtained with FksB support program @2026/03/02 2210 52index,flag1,flag2,ori,mp ( Big-Endian )0,01100001,00000000,1 0 0 0,0 0 0
10,01100001,00000000,0.05706787 0.6364136 0.76763916 0.049621582,0 0 0
20,01100001,00000000,0.9998779 0.0029907227 -0.004272461 0.0107421875,0 0 0
30,01100001,00000000,0.9998779 0.0045776367 -0.00018310547 0.0115356445,0 0 0
40,01100001,00000000,0.9998169 0.002319336 -0.0068359375 -0.012939453,0 0 0
50,01100001,00000000,0.99871826 0.00390625 0.0012207031 -0.049072266,0 0 0
60,01100001,00000000,0.99786377 0.010986328 0.00592041 -0.06311035,0 0 0
70,01110011,00000000,0.9984741 0.008483887 0.0073242188 0.05303955,0 0 0
80,01110011,00000000,0.94433594 0.0040893555 -0.021911621 -0.32824707,64 13 0
90,01110011,00000000,0.9717407 0.041625977 0.02758789 -0.23059082,59 92 28
100,01110011,00000000,0.98828125 0.022216797 -0.015258789 0.14996338,67 49 94
110,01110011,00000000,0.9970703 -0.06365967 0.007019043 -0.041259766,158 200 97
120,01110011,00000000,0.96429443 0.014038086 0.024047852 -0.2631836,143 195 79
130,01110011,00000000,0.94781494 0.042663574 -0.08294678 -0.30474854,162 135 68
140,01110011,00000000,0.9890747 -0.023071289 0.061157227 -0.13153076,191 200 79
150,01110011,00000000,0.99505615 0.021850586 0.048095703 -0.08343506,158 191 82
160,01110011,00000000,0.9901123 0.06939697 -0.10333252 -0.06500244,145 135 90
170,01110011,00000000,0.99694824 -0.07171631 0.02508545 0.015991211,190 143 93
180,01110011,00000000,0.998291 -0.0012207031 0.054870605 -0.019104004,158 195 99
190,01110011,00000000,0.9885864 0.11657715 -0.08496094 -0.042907715,137 135 101
200,01110011,00000000,0.9985962 -0.035888672 0.025024414 0.028930664,158 149 105
210,01110011,00000000,0.98986816 -0.060424805 0.10559082 0.07287598,163 197 106
220,01110011,00000000,0.9915161 0.1026001 -0.0791626 0.0043945312,163 165 113
230,01110011,00000000,0.9967041 0.019104004 -0.076293945 0.017089844,170 142 113
240,01110011,00000000,0.9911499 -0.08312988 0.068481445 0.07714844,195 193 118
250,01110011,00000000,0.9921875 -0.02722168 0.11553955 0.038024902,154 172 108
0,01110011,00000000,0.993042 0.107421875 -0.042907715 0.02130127,147 157 116
10,01110011,00000000,0.9951782 0.03845215 0.06921387 0.057250977,131 167 114
20,01110011,00000000,0.98999023 0.091796875 -0.070495605 0.08068848,158 144 124
30,01110011,00000000,0.979126 -0.08465576 0.051574707 0.17706299,176 185 131
40,01110011,00000000,0.9849243 -0.034057617 0.07525635 0.1517334,180 195 135
50,01110011,00000000,0.9961548 0.072631836 -0.03387451 0.034240723,115 101 119
60,01110011,00000000,0.9846802 -0.028198242 -0.019470215 0.17071533,161 137 135
70,01110011,00000000,0.9597168 -0.08465576 0.114746094 0.2420044,183 200 144
80,01110011,00000000,0.9840088 0.032287598 0.043640137 0.16918945,175 185 139
90,01110011,00000000,0.98272705 0.07537842 -0.05609131 0.15911865,155 121 142
100,01110011,00000000,0.96502686 -0.0625 0.048828125 0.24975586,195 189 153
110,01110011,00000000,0.970459 -0.031311035 0.084106445 0.22399902,157 181 153
120,01110011,00000000,0.986084 0.10839844 -0.062316895 0.10888672,141 165 150
130,01110011,00000000,0.9844971 0.03363037 -0.05987549 0.16137695,180 139 154
140,01110011,00000000,0.96032715 -0.079833984 0.09539795 0.24938965,195 200 162
150,01110011,00000000,0.9720459 0.021606445 0.08343506 0.21820068,135 173 155
160,01110011,00000000,0.9755249 0.13586426 -0.07092285 0.15740967,136 135 164
170,01110011,00000000,0.9616089 -0.046020508 -0.0076293945 0.27038574,160 137 168
180,01110011,00000000,0.9242554 -0.09741211 0.10089111 0.35491943,191 200 184
190,01110011,00000000,0.9550781 0.0037231445 0.08154297 0.28460693,150 165 175
200,01110011,00000000,0.95721436 0.11853027 -0.014587402 0.26348877,143 157 178
210,01110011,00000000,0.94799805 0.05987549 -0.06945801 0.30474854,172 132 186
220,01110011,00000000,0.87615967 -0.14050293 0.056152344 0.45751953,179 163 199
230,01110011,00000000,0.8635864 -0.09991455 0.14764404 0.47149658,138 200 200
240,01110011,00000000,0.8743286 0.061950684 0.070739746 0.47607422,175 185 190
250,01110011,00000000,0.85614014 0.1385498 -0.015197754 0.49749756,111 124 197
0,01110011,00000000,0.73657227 0.026855469 -0.033691406 0.67492676,178 150 200
10,01110011,00000000,0.76641846 0.16552734 0.028259277 0.6199341,90 102 200
20,01110011,00000000,0.57318115 0.059265137 -0.060302734 0.81500244,130 125 200
30,01110011,00000000,0.36236572 -0.11663818 -0.05340576 0.9230957,175 199 200
40,01110011,00000000,0.20391846 -0.116760254 0.03149414 0.9714966,176 195 195
50,01110011,00000000,0.07507324 0.03656006 0.12359619 0.98876953,139 168 200
60,01110011,00000000,0.16082764 -0.1281128 -0.06384277 -0.97650146,113 78 103
70,01110011,00000000,0.8691406 0.075805664 0.06738281 -0.48394775,152 200 77
80,01110011,00000000,0.88848877 0.14752197 0.093688965 0.4243164,120 170 139
90,01110011,00000000,0.72058105 0.043151855 -0.057678223 0.68951416,104 168 199
100,01110011,00000000,0.78015137 0.010620117 -0.033447266 0.62457275,71 180 179
110,01110011,00000000,0.95703125 0.01940918 -0.035461426 0.28704834,39 172 147
120,01110011,00000000,0.9697876 -0.060546875 -0.021057129 0.23522949,60 185 124
