FksB data obtained with FksB support program @2026/03/02 2310 22index,flag1,flag2,ori,mp ( Big-Endian )0,01100001,00000000,1 0 0 0,0 0 0
10,01100001,00000000,-0.00048828125 0.068481445 0.9976196 -0.003112793,0 0 0
20,01100001,00000000,0.9998779 0.0032348633 0.004333496 0.010925293,0 0 0
30,01110011,00000000,0.99884033 0.011779785 0.0008544922 0.046203613,0 0 0
40,01110011,00000000,0.8432617 -0.051574707 -0.085754395 0.52789307,1 64 6
50,01110011,00000000,0.49383545 -0.004211426 0.0065307617 0.86950684,55 74 14
60,01110011,00000000,0.71258545 -0.01751709 -0.0015869141 0.70129395,64 78 35
70,01110011,00000000,0.9026489 0.033935547 0.00592041 0.42889404,88 88 57
80,01110011,00000000,0.99035645 0.022155762 0.024536133 0.13421631,90 84 77
90,01110011,00000000,0.9995117 0.016357422 0.00018310547 0.02520752,90 92 85
100,01110011,00000000,0.9994507 0.01361084 0.0015258789 0.028076172,88 91 88
110,01110011,00000000,0.9975586 0.00970459 -0.015686035 0.06719971,89 96 87
120,01110011,00000000,0.9935913 0.019897461 -0.0034179688 0.111450195,94 92 84
130,01110011,00000000,0.9938965 0.0052490234 -0.009155273 0.109375,91 93 84
140,01110011,00000000,0.91467285 -0.08874512 -0.17047119 -0.3554077,59 127 110
150,01110011,00000000,0.86639404 0.16394043 0.15509033 -0.44537354,70 21 118
160,01110011,00000000,0.9750366 0.12585449 0.11907959 -0.1385498,75 35 100
170,01110011,00000000,0.77960205 0.08532715 -0.061950684 -0.6173096,99 102 126
180,01110011,00000000,0.55755615 0.06750488 0.06915283 -0.82440186,88 84 144
190,01110011,00000000,0.22247314 -0.0065307617 -0.014404297 -0.97473145,100 94 166
200,01110011,00000000,0.49853516 0.039367676 0.018310547 -0.86572266,94 80 150
210,01110011,00000000,0.62615967 -0.00091552734 0.029418945 -0.77911377,87 86 141
220,01110011,00000000,0.6758423 0.01586914 0.010986328 -0.73669434,95 83 138
230,01110011,00000000,0.8015137 0.00982666 0.009033203 -0.5977783,94 85 128
240,01110011,00000000,0.8422241 0.0067749023 0.012573242 -0.5388794,92 85 123
250,01110011,00000000,0.89263916 0.011291504 0.0043945312 -0.45043945,94 87 117
0,01110011,00000000,0.92437744 0.0078125 -0.0010375977 -0.38134766,93 90 114
10,01110011,00000000,0.9416504 0.0063476562 -0.0025634766 -0.3363037,93 90 111
20,01110011,00000000,0.961792 0.0030517578 -0.0026855469 -0.27355957,91 90 107
30,01110011,00000000,0.99261475 0.038391113 -0.002319336 -0.114990234,101 88 100
40,01110011,00000000,0.99645996 0.0134887695 0.01159668 0.08154297,93 84 87
50,01110011,00000000,0.99676514 -0.0053710938 -0.022277832 0.07598877,88 96 87
60,01110011,00000000,0.99731445 -0.0076293945 -0.046325684 -0.055541992,85 101 93
70,01110011,00000000,0.95666504 -0.026245117 -0.0914917 -0.2750244,78 113 105
80,01110011,00000000,0.99420166 0.015014648 -0.0008544922 -0.105895996,85 86 96
