FksB data obtained with FksB support program @2026/03/02 2349 30index,flag1,flag2,ori,mp ( Big-Endian )0,01100001,00000000,1 0 0 0,0 0 0
10,01100001,00000000,0.007385254 0.65423584 0.7562866 -6.1035156E-05,0 0 0
20,01100001,00000000,0.009521484 0.6547241 0.75579834 -0.002746582,0 0 0
30,01100001,00000000,0.99993896 -0.00061035156 0.00036621094 -0.0021972656,0 0 0
40,01100001,00000000,1 0.0008544922 -0.0014648438 0.0032348633,0 0 0
50,01100001,00000000,0.9996948 -0.00091552734 0.001159668 0.022521973,0 0 0
60,01100001,00000000,0.996521 -0.009155273 0.0020141602 -0.082214355,0 0 0
70,01110011,00000000,0.99871826 0.0068359375 -0.010437012 0.048828125,0 0 0
80,01110011,00000000,0.95129395 -0.08746338 0.061340332 0.28918457,3 10 13
90,01110011,00000000,0.17669678 -0.043029785 -0.12432861 0.97540283,19 88 0
100,01110011,00000000,0.5610962 -0.024658203 0.08532715 -0.822937,43 85 60
110,01110011,00000000,0.8845215 -0.07513428 -0.006164551 -0.46020508,52 96 89
120,01110011,00000000,0.9974365 -0.023376465 -0.06542969 0.013244629,66 111 84
130,01110011,00000000,0.9199219 0 -0.037475586 0.39013672,81 111 66
140,01110011,00000000,0.86602783 -0.041625977 0.012268066 0.49798584,79 96 53
150,01110011,00000000,0.93847656 0.01184082 -0.013549805 0.34472656,87 99 54
160,01110011,00000000,0.9974365 0.04675293 0.003967285 0.05328369,101 94 70
170,01110011,00000000,0.9835205 0.009765625 0.043762207 -0.17474365,97 84 88
180,01110011,00000000,0.9196167 0.009033203 -0.0040893555 -0.3925171,100 92 107
190,01110011,00000000,0.8890991 0.033935547 -0.029052734 -0.4553833,106 97 120
200,01110011,00000000,0.88323975 0.023254395 0.0119018555 -0.46795654,101 88 127
210,01110011,00000000,0.85040283 0.011047363 0.020446777 -0.52545166,97 85 135
220,01110011,00000000,0.8151245 0.0072631836 -0.001953125 -0.5791626,98 89 143
230,01110011,00000000,0.756958 0.013244629 -0.020202637 -0.6529541,103 92 150
240,01110011,00000000,0.6871948 0.037902832 -0.013793945 -0.72528076,106 89 160
250,01110011,00000000,0.6609497 0.040100098 0.011230469 -0.7491455,105 86 166
0,01110011,00000000,0.60998535 0.013549805 0.01550293 -0.7920532,102 90 173
10,01110011,00000000,0.5484009 0.037475586 -0.0071411133 -0.8352661,106 91 179
20,01110011,00000000,0.5142822 0.03704834 0.0115356445 -0.85668945,105 90 185
30,01110011,00000000,0.46801758 0.017333984 0.0034179688 -0.8835449,104 94 192
40,01110011,00000000,0.46051025 0.037231445 -0.05529785 -0.88513184,116 102 195
50,01110011,00000000,0.5496216 0.040527344 -0.006713867 -0.83428955,110 103 190
60,01110011,00000000,0.22387695 -0.050720215 0.0368042 -0.9725342,95 90 195
70,01110011,00000000,0.064086914 0.07232666 -0.07946777 -0.9920654,105 84 192
80,01110011,00000000,0.36779785 0.061767578 -0.0029296875 -0.9277344,106 98 195
90,01110011,00000000,0.020751953 -0.013427734 0.016296387 -0.9995117,102 94 195
100,01110011,00000000,0.37164307 -0.07507324 0.09460449 0.92041016,102 62 108
110,01110011,00000000,0.9552002 -0.038513184 0.051696777 0.28863525,94 61 96
120,01110011,00000000,0.92193604 0.057800293 0.06121826 -0.3779297,116 60 116
130,01110011,00000000,0.7316284 0.017578125 -0.026977539 -0.6809082,118 82 139
140,01110011,00000000,0.5539551 0.015808105 -0.05621338 -0.8303833,113 106 164
150,01110011,00000000,0.5755005 0.010192871 0.03668213 -0.81689453,97 92 174
160,01110011,00000000,0.63934326 -0.021911621 -0.027832031 -0.7680664,97 99 174
170,01110011,00000000,0.7154541 -0.030700684 -0.05218506 -0.6959839,89 111 171
180,01110011,00000000,0.862854 -0.013305664 0.004638672 -0.505188,83 99 158
190,01110011,00000000,0.91571045 -0.03265381 -0.020141602 -0.3998413,79 101 145
200,01110011,00000000,0.84716797 -0.019348145 -0.042907715 -0.52905273,78 108 146
210,01110011,00000000,0.8599243 -0.0007324219 -0.00592041 -0.51031494,79 99 146
220,01110011,00000000,0.88616943 -0.02532959 -0.022827148 -0.4619751,79 102 144
230,01110011,00000000,0.8543701 -0.024353027 -0.037353516 -0.51763916,78 108 144
240,01110011,00000000,0.89068604 -0.014892578 -0.014526367 -0.4539795,78 104 141
250,01110011,00000000,0.916626 -0.030029297 -0.025512695 -0.397583,77 106 136
0,01110011,00000000,0.8973999 -0.024719238 -0.038330078 -0.4387207,77 109 136
10,01110011,00000000,0.9067993 -0.019226074 -0.028564453 -0.4199829,77 108 136
20,01110011,00000000,0.93707275 -0.029724121 -0.026062012 -0.34655762,75 107 131
30,01110011,00000000,0.9143677 -0.019592285 -0.05822754 -0.39996338,76 117 131
