index,flag1,flag2,ori,avel,acce,mp,temp ( Big-Endian )
23,00000001,00000101,0.7367554 -0.09436035 0.6644287 -0.08294678,1.1033334 -0.25555557 -1.2822223,-8.4 -3.33 0.58,0 0 0,24
24,00000001,00000101,0.7406006 -0.10870361 0.64282227 -0.16290283,0.47555557 0.30666667 -0.5366667,-8.4 -4.35 3.01,0 0 0,24
25,00000001,00000101,0.83135986 -0.16802979 0.524292 -0.07574463,1.7022222 -2.27 0.35444444,-8.59 -6.67 1.81,0 0 0,24
26,00000001,00000101,0.91918945 -0.16638184 0.35656738 -0.01574707,-0.7877778 -2.9855556 -0.41111112,-10.38 -0.67 9.53,0 0 0,24
27,00000001,00000101,0.93310547 -0.1763916 0.31103516 0.03778076,-0.45333335 0.15333334 -0.36777776,-6.91 -3.07 9.03,0 0 0,24
28,00000001,00000101,0.9375 -0.17974854 0.2756958 0.044067383,-0.064444445 -28.733334 -30.436666,-4.79 -3.02 7.71,0 0 0,24
29,00000001,00000101,0.9528198 -0.18225098 0.23510742 0.060424805,-0.23777778 -0.7922222 0.115555555,-4.58 -2.77 7.92,0 0 0,24
30,00000001,00000101,0.94732666 -0.1965332 0.2420044 0.07373047,-0.0022222223 1.3844445 0.23222223,-4.12 -2.97 8.39,0 0 0,24
32,00000001,00000101,0.93133545 -0.18383789 0.30603027 0.07159424,0.055555556 1.4644444 0.044444446,-4.44 -3.53 5.3,0 0 0,24
33,00000001,00000101,0.880188 -0.19104004 0.4328003 0.038635254,0.82666665 1.27 0.59444445,-8.05 -2.98 6.49,0 0 0,24
34,00000001,00000101,0.8607178 -0.1529541 0.48492432 0.025390625,0.39666668 0.27 0.07666667,-8.43 -2.39 5.09,0 0 0,24
35,00000001,00000101,0.8553467 -0.11004639 0.5060425 0.015197754,1.0677778 0.9988889 0.25111112,-8.3 -1.77 4.81,0 0 0,24
36,00000001,00000101,0.8387451 -0.057373047 0.54125977 -0.014526367,1.0866667 0.79555553 -0.08222222,-8.44 -1.12 4.52,0 0 0,24
37,00000001,00000101,0.8255005 -0.03869629 0.56152344 -0.041809082,0.12666667 -0.055555556 -0.07333333,-8.63 -1.16 3.5,0 0 0,24
38,00000001,00000101,0.82958984 -0.03778076 0.5557251 -0.03918457,-0.094444446 -0.24444444 0.07,-177.95 -0.01 -0.01,0 0 0,24
39,00000001,00000101,0.8411865 -0.016540527 0.5404663 -0.0025024414,0.115555555 -0.015555556 0.93333334,-9.05 -0.55 3.67,0 0 0,24
40,00000001,00000101,0.8423462 -0.0053100586 0.5385132 0.021362305,0.13111112 -0.6433333 0.14666666,-9.07 -0.01 4.01,0 0 0,24
42,00000001,00000101,0.8850708 -0.03265381 0.46270752 0.03881836,-0.41 -0.44333333 -0.19333333,-7.59 -0.12 4.42,0 0 0,24
43,00000001,00000101,0.8987427 -0.06738281 0.4321289 0.032287598,-0.39222223 -0.58111113 -0.39222223,-7.36 -0.66 5.82,0 0 0,24
44,00000001,00000101,0.9141846 -0.09875488 0.38983154 0.050720215,-0.77 -0.8666667 0.037777778,-7.11 -1.29 6.28,0 0 0,24
45,00000001,00000101,0.9362793 -0.12609863 0.31866455 0.0770874,-0.69777775 -0.9288889 0.18666667,-6.32 -1.51 7.11,0 0 0,24
46,00000001,00000101,0.9524536 -0.15704346 0.2234497 0.1350708,-0.76222223 -2.547778 0.55,-4.49 -2.27 8.03,0 0 0,24
47,00000001,00000101,0.95318604 -0.18481445 0.12017822 0.1642456,-0.4511111 -1.3633333 -22.756666,-3.05 -2.74 8.13,0 0 0,24
48,00000001,00000101,0.9589844 -0.20892334 0.05633545 0.1831665,-0.13666667 -0.48777777 0.2777778,-1.85 -3.26 8.43,0 0 0,24
49,00000001,00000101,0.9510498 -0.20916748 0.12084961 0.19262695,0.54333335 2.8933334 0.55777776,-3.16 -3 9.18,0 0 0,24
50,00000001,00000101,0.9263916 -0.13543701 0.31762695 0.15032959,2.4188888 4.6055555 -0.16222222,-5.8 -1.54 7.65,0 0 0,24
52,00000001,00000101,0.894104 -0.0690918 0.4326172 0.09301758,1.1444445 1.1277778 -0.08222222,-7.47 -0.51 5.58,0 0 0,24
53,00000001,00000101,0.8885498 -0.04748535 0.44921875 0.08001709,-0.24222222 -0.26777777 0.03888889,-8.12 -0.26 5.62,0 0 0,24
54,00000001,00000101,0.9193115 -0.111694336 0.35479736 0.12835693,-1.5322223 -2.291111 0.36888888,-6.57 -0.95 6.25,0 0 0,24
55,00000001,00000101,0.9432373 -0.15722656 0.22589111 0.18597412,-0.66333336 -1.8733333 0.35444444,-4.77 -1.77 8.08,0 0 0,24
56,00000001,00000101,0.9560547 -0.15472412 0.11279297 0.2220459,-0.42666668 -1.8866667 0.33555555,-2.74 -1.7 9.32,0 0 0,24
57,00000001,00000101,0.9581299 -0.11706543 -0.023803711 0.2602539,0.52666664 -2.7733333 0.34111112,-0.06 -2.09 -0.01,0 0 0,24
58,00000001,00000101,0.9503784 -0.05102539 -0.11932373 0.2826538,0.8466667 -0.71 -0.08555555,2.31 -1.49 8.92,0 0 0,24
59,00000001,00000101,0.9522095 -0.008666992 -0.13549805 0.27349854,0.57666665 -0.69 -0.19333333,1.85 -0.37 9.53,0 0 0,24
60,00000001,00000101,0.9503784 0.036071777 -0.15209961 0.26898193,1.1222222 -0.25111112 -0.33666667,3.03 0.28 9.11,0 0 0,24
62,00000001,00000101,0.9482422 0.09564209 -0.17480469 0.24731445,0.8422222 -0.59444445 -0.42444444,3.13 0.99 9.2,0 0 0,24
63,00000001,00000101,0.94421387 0.15332031 -0.17871094 0.23028564,1.0388889 0.016666668 -0.34666666,3.56 2.23 8.27,0 0 0,24
64,00000001,00000101,0.9403076 0.1984253 -0.16455078 0.22210693,0.6344444 0.30444443 -0.17555556,3.37 3.24 8.14,0 0 0,24
65,00000001,00000101,0.9373779 0.2234497 -0.1484375 0.22216797,0.2711111 0.12111111 -0.09111111,3.35 3.5 7.64,0 0 0,24
66,00000001,00000101,0.9394531 0.2197876 -0.14245605 0.22106934,0.016666668 0.04 -0.023333333,3.26 3.71 8.43,0 0 0,24
67,00000001,00000101,0.93859863 0.22595215 -0.1373291 0.22155762,0.25444445 0.06666667 -0.0022222223,3.72 3.71 8.26,0 0 0,24
68,00000001,00000101,0.93310547 0.27130127 -0.08917236 0.21844482,1.3477777 0.8933333 -0.5322222,2.29 4.65 8.11,0 0 0,24
69,00000001,00000101,0.93310547 0.29467773 0.07635498 0.19152832,0.9411111 6.8166666 -3.5633333,-1.86 7.38 9.75,0 0 0,24
70,00000001,00000101,0.8979492 0.2244873 0.34014893 0.16601562,-0.26666668 4.638889 -2.3922222,-8.32 5.74 6.96,0 0 0,24
72,00000001,00000101,0.8497925 0.15820312 0.46520996 0.19085693,-0.22444445 1.9877778 0.23333333,-7.5 4.44 5.52,0 0 0,24
73,00000001,00000101,0.7593994 0.1486206 0.6135864 0.1572876,1.5622222 2.4966667 -1.2455555,-8.96 4.79 1.6,0 0 0,24
74,00000001,00000101,0.66192627 0.22381592 0.70861816 0.09820557,2.8411112 1.9111111 0.045555554,-8.93 4.02 -0.56,0 0 0,24
75,00000001,00000101,0.6326904 0.28271484 0.71765137 0.06921387,0.5388889 0.031111112 0.9066667,-8.33 4.8 -1.62,0 0 0,24
76,00000001,00000101,0.59552 0.31414795 0.73760986 0.050720215,1.2411112 1.2077777 -0.20111111,-8.89 5.12 259.46,0 0 0,24
77,00000001,00000101,0.5170288 0.34710693 0.78240967 -0.0072631836,2.0977778 1.6022222 -1.4022223,-9.13 3.74 -4.51,0 0 0,24
78,00000001,00000101,0.41052246 0.34088135 0.84277344 -0.07043457,1.0966667 1.6644444 -0.9011111,-6.89 1.66 -5.88,0 0 0,24
79,00000001,00000101,0.29016113 0.3237915 0.89398193 -0.10858154,0.89444447 1.5933334 -0.9066667,-6.26 0.22 -7.41,0 0 0,24
80,00000001,00000101,0.2475586 0.32348633 0.9041748 -0.12860107,0.17222223 0.4422222 0.04222222,-5.58 -0.28 -7.76,0 0 0,24
82,00000001,00000101,0.22937012 0.34204102 0.90197754 -0.12963867,0.23222223 0.3311111 0.22222222,-5.05 -1.61 -8.67,0 0 0,24
83,00000001,00000101,0.2185669 0.35949707 0.899353 -0.118896484,-0.06666667 0.21222222 0.26777777,-4.48 -0.68 -8.12,0 0 0,24
84,00000001,00000101,0.2175293 0.36779785 0.8969116 -0.11407471,-0.112222224 -0.017777778 0.15222222,-3.95 -0.62 -7.78,0 0 0,24
85,00000001,00000101,0.23175049 0 0 -0.015625,-0.22555555 0.06333333 -0.15111111,-5.12 -1.09 -8.61,0 0 0,24
86,00000001,00000101,0.2300415 0.355896 0.8985596 -0.11401367,0.0044444446 -0.17222223 -0.022222223,-5.1 -0.15 -8.2,0 0 0,24
87,00000001,00000101,0.23028564 0.35284424 0.89959717 -0.11480713,0.07666667 -0.15333334 -0.18111111,-4.69 -0.82 -8.04,0 0 0,24
88,00000001,00000101,0.2442627 0.34692383 0.8980713 -0.11590576,-0.34666666 -0.38 0.064444445,-4.07 -0.95 -7.23,0 0 0,24
89,00000001,00000101,0.36688232 0.33392334 0.8649292 -0.076416016,-1.9588889 -2.5933332 0.6422222,-5.03 0.07 -6.53,0 0 0,24
90,00000001,00000101,0.58587646 0.2722168 0.7631836 0.015991211,-4.3855557 -4.212222 1.4888889,-7.72 1.65 -2.6,0 0 0,24
92,00000001,00000101,0.79125977 0.059814453 0.5830078 0.1743164,-7.2144446 -5.3766665 -0.3122222,-9.07 3.3 1.27,0 0 0,24
93,00000001,00000101,0.8916626 -0.030761719 0.39794922 0.21362305,-1.5688889 -3.1777778 -0.05666667,-6.61 1.26 6.27,0 0 0,24
94,00000001,00000101,0.93530273 -0.08300781 0.2286377 0.25689697,-0.98888886 -2.0244443 -0.5233333,-3.77 0.2 10.32,0 0 0,24
95,00000001,00000101,0.9585571 -0.08013916 0.076416016 0.26245117,-1.0188888 -2.37 0.22,-1.92 -1.36 8.49,-20736 -6144 -232,24
96,00000001,00000101,0.9579468 -0.104003906 0.011047363 0.26727295,-0.7022222 -0.60888886 0.1,-1.4 -1.69 8.97,0 0 0,24
97,00000001,00000101,0.9536133 -0.11859131 -0.030090332 0.27514648,-0.3511111 0.22666667 0.30888888,0.18 -2.07 9.14,0 0 0,24
98,00000001,00000101,0.9390259 -0.16571045 0.03857422 0.2987671,0.3288889 1.4111111 0.70444447,-2.1 -2.17 7.79,0 0 0,24
99,00000001,00000101,0.9300537 -0.17895508 0.10900879 0.3017578,0.33444443 -0.3611111 0.32666665,-4.27 -1.95 8.91,0 0 0,24
100,00000001,00000101,0.9189453 -0.20837402 0.0524292 0.33068848,-1.4433334 -1.5311111 0.062222224,-3.33 -2.96 8.15,0 0 0,24
102,00000001,00000101,0.89520264 -0.2514038 -0.012390137 0.3678589,-0.39333335 -0.91888887 0.19666667,-1.85 -4.4 8.13,0 0 0,24
103,00000001,00000101,0.8921509 -0.2514038 -0.024841309 0.37451172,0.41444445 0.27666667 0.19222222,-1.24 -4.1 7.41,0 0 0,24
104,00000001,00000101,0.89208984 -0.22943115 0 -0.015625,0.8466667 0.5588889 0.6766667,-2.91 -3.01 7.81,0 0 0,24
105,00000001,00000101,0.87731934 -0.21392822 0.059265137 0.42541504,0.28111112 0.8666667 0.11777778,-3.2 -3.14 7.26,0 0 0,24
106,00000001,00000101,0.88031006 -0.18347168 0.1015625 0.4255371,1.1055555 0.23888889 0.1388889,-3.15 -2.3 7.24,0 0 0,24
107,00000001,00000101,0.8788452 -0.17474365 0.17010498 0.41003418,0.75666666 0.8833333 0.05666667,-4.63 -1.36 8.29,0 0 0,24
108,00000001,00000101,0.88031006 -0.16601562 0.19610596 0.39874268,0.19444445 -0.33666667 -0.09888889,-5.22 -0.71 7.45,0 0 0,24
109,00000001,00000101,0.88616943 -0.16314697 0.15722656 0.40411377,-0.44444445 -0.46 0.0055555557,-4.24 -1.06 8.67,0 0 0,24
110,00000001,00000101,0.8862915 -0.1809082 0.11468506 0.41064453,-0.32222223 -0.29666665 -0.11888889,-4 -1.56 8.61,0 0 0,24
112,00000001,00000101,0.88635254 -0.18157959 0.12261963 0.40789795,0.19888888 0.24 -0.10555556,-4.05 -1.84 8.56,0 0 0,24
113,00000001,00000101,0.8900757 -0.16345215 0.14068604 0.40161133,0.40666667 0.11333334 0.0044444446,-3.97 -1.49 8.5,0 0 0,24
114,00000001,00000101,0.89208984 -0.14697266 0.16143799 0.39562988,0.3588889 0.15444444 -0.04777778,-4.37 -0.91 8.65,0 8192 -231,24
115,00000001,00000101,0.89331055 -0.12902832 0.1550293 0.40161133,0.05666667 -0.26555556 0.13777778,-3.92 -0.67 8.73,0 0 0,24
116,00000001,00000101,0.8921509 -0.12017822 0.14477539 0.41070557,0.17888889 -0.28 0.09555556,-4.1 -0.27 8.75,0 0 0,24
117,00000001,00000101,0.8928833 -0.11218262 0.13500977 0.41467285,0.037777778 -0.28666666 0.055555556,-3.71 -0.42 8.82,0 0 0,24
118,00000001,00000101,0.8979492 -0.09033203 0.107055664 0.41723633,0.11333334 -0.47 0.032222223,-3.35 -0.22 8.68,0 0 0,24
119,00000001,00000101,0.8991089 -0.07647705 0.07495117 0.4244995,0.045555554 -0.78 -0.03888889,-2.04 -0.64 8.78,0 0 0,24
120,00000001,00000101,0.9036255 -0.054626465 0.037963867 0.42315674,0.14 -0.40111113 -0.16333333,-1.34 -0.46 9.07,0 0 0,24
122,00000001,00000101,0.9110718 -0.039978027 0.03173828 0.40911865,0.24555555 -0.13333334 -0.28777778,-1.37 0.01 9.06,0 0 0,24
123,00000001,00000101,0.91760254 -0.037353516 0.05041504 -0.015625,0.21222222 0.71666664 -0.35222223,-1.59 0.05 9.1,0 0 0,24
124,00000001,00000101,0.9213257 -0.046569824 0.11218262 0.36938477,0.12777779 0.5311111 -0.16,-2.85 0.68 9.64,0 0 0,24
125,00000001,00000101,0.923584 -0.043762207 0.12176514 0.36090088,0.008888889 0.067777775 -0.13111112,-2.94 0.52 9.09,0 0 0,24
126,00000001,00000101,0.92401123 -0.046875 0.12939453 0.3567505,0.006666667 0.15444444 -0.08222222,-2.96 0.28 9.3,0 0 0,24
127,00000001,00000101,0.92529297 -0.04333496 0.124572754 0.3555298,-0.037777778 -0.33333334 0.017777778,-2.66 0.27 9.05,0 0 0,24
128,00000001,00000101,0.9267578 -0.043518066 0.11907959 0.35369873,0.026666667 0.046666667 -0.083333336,-2.53 0.07 9.53,0 0 0,24
129,00000001,00000101,0.9293823 -0.04498291 0.12182617 0.34545898,-0.18777777 0.22666667 -0.09888889,-2.82 0.23 9.63,0 0 0,24
130,00000001,00000101,0.9328613 -0.044677734 0.11621094 0.33807373,-0.44444445 0.23888889 0.104444444,-2.69 0.17 9.54,0 0 0,24
132,00000001,00000101,0.93377686 -0.044433594 0.1105957 0.33740234,-0.052222222 -0.06555556 -0.031111112,-1.96 -0.14 8.94,0 0 0,24
133,00000001,00000101,0.9364624 -0.040100098 0.11468506 0.32910156,0.19111112 0.10666667 -0.12777779,-3.19 0.3 9.03,0 0 -256,24
134,00000001,00000101,0.93585205 -0.042114258 0.1159668 0.33013916,0.0011111111 -0.18444444 0.07444444,-2.37 0.11 9.1,0 0 0,24
135,00000001,00000101,0.9362793 -0.047668457 0.114868164 0.32855225,0.12111111 0.12444445 -0.16222222,-2.97 -0.22 9.61,0 0 0,24
136,00000001,00000101,0.93518066 -0.051757812 0.119018555 0.32958984,-0.09555556 0.06555556 0.13333334,-3.05 -0.07 8.93,0 0 0,24
137,00000001,00000101,0.9324341 -0.056640625 0.1251831 0.33422852,-0.06333333 -0.23333333 -0.03,-2.34 0.37 7.94,0 0 0,24
138,00000001,00000101,0.9316406 -0.068115234 0.12652588 0.33374023,0.04 0.18222222 -0.08222222,-3.41 -0.57 9.62,0 0 0,24
139,00000001,00000101,0.9312134 -0.06347656 0.12939453 0.33477783,0.17 -0.07666667 -0.09111111,-2.24 -0.53 8.97,0 0 0,24
140,00000001,00000101,0.9334717 -0.06549072 0.13189697 0.32696533,-0.37444445 0.20333333 -0.034444444,-3.65 -0.53 8.03,0 0 0,24
142,00000001,00000101,0.92059326 -0.12207031 0.1138916 0.35302734,-0.85555553 0.39444444 0.6711111,-1.45 -1.27 10.96,0 0 0,24
143,00000001,00000101,0.9213257 -0.12390137 0.12585449 0.34631348,0.12111111 -0.045555554 -0.24,-4.1 -1.57 8.2,0 0 0,24
144,00000001,00000101,0.91864014 -0.13012695 0.12322998 0.35205078,-0.04111111 0.08 0.06555556,-3.04 -0.93 10.14,0 0 0,24
145,00000001,00000101,0.91552734 -0.14624023 0.13134766 0.35095215,-0.4977778 0.81222224 -0.17333333,-3.98 -1.99 10.29,0 0 0,24
146,00000001,00000101,0.9110718 -0.14990234 0.16802979 0.3453369,-0.5411111 0.45333335 0.06555556,-3.66 -1.26 7.11,0 0 0,24
147,00000001,00000101,0.9052124 -0.17675781 0.19903564 0.3312378,0.04 1.0133333 -0.064444445,-4.14 -2.04 8.73,0 0 0,24
148,00000001,00000101,0.9035034 -0.19042969 0.21398926 0.31878662,-0.16444445 -0.075555556 -0.22444445,-5.55 -1.3 7.54,0 0 0,24
149,00000001,00000101,0.90625 -0.19458008 0.1977539 0.3189087,-0.19666667 -0.28777778 0.11444444,-5.66 -1.35 8.4,0 0 0,24
150,00000001,00000101,0.8964844 -0.2088623 0.14550781 0.36254883,-2.3255556 -2.3755555 0.8522222,-3.91 -2.17 8.38,0 0 0,24
152,00000001,00000101,0.8808594 -0.2522583 0.11401367 0.38409424,-0.63222224 -0.043333333 0.14777778,-4.57 -3.5 9.25,0 0 0,24
153,00000001,00000101,0.869812 -0.24798584 0.07788086 0.41931152,-0.41222224 -1.1466666 0.9111111,-3.55 -3.56 7.25,0 0 0,24
154,00000001,00000101,0.861145 -0.2546997 0.110839844 0.42578125,0.17444444 0.40888888 -0.15555556,-4.57 -2.8 7.93,0 0 0,24
155,00000001,00000101,0.8661499 -0.25482178 0.11401367 0.41455078,-0.47444445 0.15444444 -0.13777778,-4.12 -2.64 8.2,0 0 0,24
156,00000001,00000101,0.8557739 -0.2822876 0.12347412 0.4156494,-0.32666665 0.5744445 -0.044444446,-4.21 -3.32 7.71,0 0 0,24
157,00000001,00000101,0.8566284 -0.3137207 0.111206055 0.39422607,-0.9411111 0.10888889 -0.61444443,-6.05 -2.51 8.58,0 0 0,24
158,00000001,00000101,0.84198 -0.35211182 0.19537354 0.35906982,0.3 2.5355556 -0.44111112,-6.94 -1.3 5.69,0 0 0,24
159,00000001,00000101,0.80126953 -0.45684814 0.25982666 0.2859497,-0.8411111 1.2933333 -0.76666665,-5.11 -5.19 3.78,0 0 0,24
160,00000001,00000101,0.8308716 -0.41467285 0.24346924 0.28009033,0.72333336 -0.25444445 -0.11111111,-6.48 -6.66 3.09,0 0 0,24
162,00000001,00000101,0.8442993 -0.37194824 0.2923584 0.25152588,2.2677777 2.48 0.42555556,-143.34 -6.24 12.01,0 0 0,24
163,00000001,00000101,0.8845215 -0.3057251 0.27789307 0.21673584,2.0833333 -0.1 0.26333332,-6.34 -3.93 2.55,0 0 0,24
164,00000001,00000101,0.93426514 -0.21704102 0.20922852 0.19042969,-0.41666666 -3.4 -0.52,-3.64 -2.49 3.41,0 0 0,24
165,00000001,00000101,0.9493408 -0.16131592 0.19610596 0.18518066,-1.4233333 -2.9866667 0.04888889,-4.8 -1.7 8.5,0 0 0,24
166,00000001,00000101,0.95861816 -0.16400146 0.12890625 0.19378662,0.027777778 -0.40111113 -0.19333333,-2.55 -2.77 9.85,0 0 0,24
167,00000001,00000101,0.9691162 -0.13763428 0.1104126 0.17224121,0.95 -0.7866667 -0.57555556,-2.38 -1.38 7.55,0 0 0,24
168,00000001,00000101,0.97772217 -0.1027832 0.09387207 0.15698242,0.7877778 0.33222222 0.15222222,-2.22 -1.21 10.46,0 0 0,24
169,00000001,00000101,0.977417 -0.035461426 0.13604736 0.15777588,2.0322223 0.77444446 -0.30888888,-3.03 -0.56 8.6,0 0 0,24
170,00000001,00000101,0.9688721 0.055541992 0.14556885 0.14758301,1.8044444 28.442223 27.875555,-2.17 1.26 10.42,0 0 0,24
172,00000001,00000101,0.97546387 0.07623291 0.14892578 0.14324951,0.06555556 -0.14222223 -0.28111112,-3.8 2.18 8.67,0 0 0,24
173,00000001,00000101,0.97406006 0.10223389 0.15197754 0.13275146,0.33888888 0.43222222 -0.32222223,-2.52 2.43 9.38,0 0 0,24
174,00000001,00000101,0.9732666 0.07965088 0.17297363 0.12823486,-1.0011111 0.24444444 -0.18333334,-4.24 2.2 8.3,0 0 0,24
175,00000001,00000101,0.97143555 0.06842041 0.18579102 0.13085938,0.07666667 0.36777776 -0.06333333,-2.97 2.02 9.06,0 0 0,24
176,00000001,00000101,0.96868896 0.062072754 0.2029419 0.12872314,0.18333334 0.09888889 0.07666667,-4.23 1.6 8.51,0 0 0,24
177,00000001,00000101,0.9694824 0.06359863 0.19958496 0.12719727,-0.057777777 -0.083333336 -0.0011111111,-3.44 1.38 8.35,0 0 0,24
178,00000001,00000101,0.9678345 0.055664062 0.2088623 0.12896729,-0.07777778 0.19444445 0.12555556,-4.02 1.59 8.47,0 0 0,24
179,00000001,00000101,0.96765137 0.04724121 0.21173096 0.12872314,-0.20777778 -0.101111114 -0.022222223,-3.91 1.3 7.85,0 0 0,24
180,00000001,00000101,0.9659424 0.033325195 0.2218628 0.12878418,-0.21 0.20555556 0.11444444,46.94 -2.56 -0.01,0 0 0,24
182,00000001,00000101,0.9651489 0.0211792 0.2276001 0.12731934,-0.18444444 0.12 -0.2688889,-4.37 0.83 8.46,0 0 0,24
183,00000001,00000101,0.96520996 0.01727295 0.23168945 0.11987305,-0.1 0.32444444 -0.21555555,-4.74 1.36 9.33,0 0 0,24
184,00000001,00000101,0.96258545 0.010314941 0.24108887 0.123046875,-0.023333333 0.09111111 -0.062222224,-4.51 0.52 8.01,0 0 0,24
185,00000001,00000101,0.96069336 0.007019043 0.25109863 0.11816406,-0.27 -0.0033333334 0.06666667,-4.84 0.78 7.96,0 0 0,24
186,00000001,00000101,0.9555054 -0.005065918 0.27056885 0.117492676,-0.2777778 0.2522222 -0.05111111,-5.36 0.77 8.06,0 0 0,24
187,00000001,00000101,0.95214844 -0.010192871 0.2816162 0.11853027,-0.02 0.044444446 -0.062222224,-5.45 0.7 7.87,0 0 0,24
188,00000001,00000101,0.9501953 -0.014892578 0.28930664 0.1149292,-0.24 0.24444444 -0.18666667,-5.45 0.59 7.61,0 0 0,24
189,00000001,00000101,0.9376221 -0.024169922 0.30963135 0.111206055,-0.05888889 0.086666666 29.581112,-6.24 0.48 7.59,0 0 0,24
190,00000001,00000101,0.9429321 -0.025756836 0.31237793 0.11224365,-0.014444444 0.17777778 0.007777778,-5.74 -0.16 7.99,0 0 0,24
192,00000001,00000101,0.9389038 -0.035217285 0.324646 0.10876465,-0.055555556 0.49555555 -0.30555555,-5.8 -0.06 7.58,0 0 0,24
193,00000001,00000101,0.9291382 -0.041748047 0.35375977 0.09881592,0.33777776 0.6477778 -0.115555555,-6.28 0.4 7.98,0 0 0,24
194,00000001,00000101,0.9257202 -0.04071045 0.36309814 0.097839355,0.24555555 0.33222222 -0.22,-7.66 0.58 6.71,0 0 0,24
195,00000001,00000101,0.9277954 -0.04284668 0.35827637 0.09460449,0.022222223 0.23555556 -0.08555555,-5.99 -0.31 7.84,0 0 0,24
196,00000001,00000101,0.92767334 -0.049682617 0.35888672 0.09063721,0.21777777 0.21111111 -0.19777778,-7.74 -0.1 6.6,0 0 0,24
197,00000001,00000101,0.9197998 -0.06958008 0.37475586 0.093444824,-0.14333333 1.7655555 -0.23555556,-5.23 -1.04 6.22,0 0 0,24
198,00000001,00000101,0.8919678 -0.068725586 0.4401245 0.07751465,-0.16777778 0.18 -0.12888889,-8.06 -0.95 5.32,0 0 0,24
199,00000001,00000101,0.888916 -0.08392334 0.44421387 0.07373047,-0.6077778 -0.006666667 -0.11,-7.45 -0.92 -0.01,0 0 0,24
200,00000001,00000101,0.88812256 -0.09094238 0.44573975 0.0657959,-0.025555555 -0.21333334 -0.01,-8.89 -0.6 5.02,0 0 0,24
202,00000001,00000101,0.8905029 -0.08709717 0.4413452 0.0680542,-0.08222222 0.025555555 -0.11111111,-7.32 -0.93 5.61,0 0 0,24
203,00000001,00000101,0.8878174 -0.0892334 0.44659424 0.06561279,-0.08444444 0.054444443 -0.067777775,-7.75 -1.05 5.64,0 0 0,24
204,00000001,00000101,0.8826904 -0.099609375 0.45544434 0.0592041,-0.15222222 0.35666665 -0.22777778,-7.85 -1.08 5.63,0 0 0,24
