index,flag1,flag2,ori,avel,acce,mp,temp ( Big-Endian )
1,00000001,00000101,0.8786011 -0.06896973 0.29278564 0.37097168,0.0011111111 0.06333333 -0.017777778,-5.57 1.09 7.9,0 0 0,24
2,00000001,00000101,0.87841797 -0.070251465 0.29278564 0.37109375,-0.06888889 -0.11888889 -0.0022222223,-5.64 0.87 7.74,0 0 0,24
3,00000001,00000101,0.87994385 -0.070617676 0.28582764 0.37280273,-0.18888889 -0.27666667 0.015555556,-4.61 1.57 7.57,0 0 0,24
4,00000001,00000101,0.8810425 -0.07684326 0.2841797 0.3703003,-0.11888889 -0.031111112 -0.07,-5.36 0.57 7.89,0 0 0,24
5,00000001,00000101,0.88305664 -0.08068848 0.27703857 0.3701172,-0.112222224 -0.22 -0.028888889,-5.35 0.66 8.26,0 0 0,24
6,00000001,00000101,0.8848877 -0.086242676 0.2697754 0.369812,-0.14777778 -0.05888889 -0.06888889,-5.3 0.52 8.37,0 0 0,24
7,00000001,00000101,0.883667 -0.08685303 0.2753296 0.36846924,-0.055555556 0.0044444446 -0.013333334,-5.29 0.59 8.11,0 0 0,24
8,00000001,00000101,0.88238525 -0.08831787 0.28308105 0.36535645,0.08111111 0.107777774 0,-5.44 0.1 8.38,0 0 0,24
9,00000001,00000101,0.880249 -0.08654785 0.29309082 0.3630371,-0.16444445 0.05 -0.057777777,-5.78 0.47 7,0 0 0,24
10,00000001,00000101,0.880188 -0.091552734 0.3017578 0.35461426,0.16 0.4 0.02111111,-5.87 0.43 7.64,0 0 0,24
12,00000001,00000101,0.8791504 -0.09063721 0.30004883 0.35888672,-0.013333334 0.04222222 -0.0011111111,-5.79 0.53 7.71,0 0 0,24
13,00000001,00000101,0.8789673 -0.091796875 0.2994995 0.3595581,0.036666665 0.07 -0.016666668,-5.85 0.55 7.7,0 0 0,24
14,00000001,00000101,0.878479 -0.09100342 0.30444336 0.35681152,-0.035555556 -0.055555556 -0.016666668,-5.89 0.59 7.61,0 0 0,24
15,00000001,00000101,0.8800049 -0.08959961 0.3017578 0.35565186,0.05111111 -0.045555554 -0.022222223,-5.89 0.58 7.66,0 0 0,24
16,00000001,00000101,0.88031006 -0.09240723 0.30041504 0.35534668,-0.13444445 0.0022222223 -0.033333335,-5.84 0.57 7.67,0 0 0,24
17,00000001,00000101,0.87164307 -0.09918213 0.3395996 0.33917236,0.8377778 2.1255555 -0.46222222,-6.26 1.04 8.66,0 0 0,24
18,00000001,00000101,0.83514404 -0.125 0.4477539 0.2939453,0.11666667 2.07 -0.16777778,-7.65 1.14 6.61,0 0 0,24
19,00000001,00000100,0.79608154 -0.13647461 0.5317993 0.2545166,0.34 1.5322223 -0.49333334,-296.42 1.78 4.18,0 0 0,24
20,00000001,00000101,0.76916504 -0.13500977 0.59832764 0.17926025,1.8122222 1.9233333 -1.1588889,-9.08 0.67 3.62,0 0 0,24
22,00000001,00000101,0.7411499 -0.08929443 0.6647949 0.027404785,2.3533332 0.7544444 -1.6066667,-10.92 -2.02 -0.42,0 0 0,24
