index,flag1,flag2,ori,avel,acce,mp,temp ( Big-Endian )
1,00000001,00000101,0.98547363 -0.029968262 0.041503906 -0.1619873,0.33333334 -0.67777777 -0.35444444,0.16 0.08 5.5,0 0 0,30
2,00000001,00000101,0.98413086 -0.025512695 0.025817871 -0.17364502,0.9022222 -0.6011111 -0.104444444,1.64 0.82 2.5,0 0 0,30
3,00000001,00000101,0.9817505 -0.084472656 0.004211426 -0.17034912,-0.26666668 -0.064444445 0.52444446,-1.62 -1.93 13.26,0 0 0,30
4,00000001,00000101,0.98205566 -0.04840088 0.047546387 -0.17596436,0.62666667 0.5933333 -0.21666667,-0.9 -0.13 16,0 0 0,30
5,00000001,00000101,0.9785156 -0.035705566 0.036621094 -0.19970703,0.52555555 -0.77111113 -0.41333333,-1.45 -1.38 9.88,0 0 0,30
6,00000001,00000101,0.98114014 0.010192871 -0.007507324 -0.1928711,0.89666665 -0.55 0.08111111,0.38 0.21 1.74,0 0 0,30
7,00000001,00000101,0.9782715 -0.004760742 -0.023254395 -0.20605469,-0.87777776 0.18222222 -0.22222222,0.03 -0.32 4.21,0 0 0,30
8,00000001,00000101,0.97442627 -0.078063965 0.026672363 -0.20916748,0.015555556 1.3588889 0.033333335,0.42 -1.07 14.77,0 0 0,30
9,00000001,00000101,0.9772949 -0.06213379 0.05078125 -0.19604492,-0.12777779 -0.63555557 0.24111111,-0.9 -1.3 12.75,0 0 0,30
10,00000001,00000101,0.9763794 -0.06359863 0.05053711 -0.20025635,-1.0111111 0.33444443 -0.32222223,-0.29 -1.57 9.42,0 0 0,30
12,00000001,00000101,0.9639282 -0.13519287 0.053710938 -0.22302246,-1.3722222 -0.63555557 -0.5088889,-0.57 -2.44 10.25,0 0 0,30
13,00000001,00000101,0.9515991 -0.18884277 -0.03668213 -0.2397461,0.48666668 -2.1522222 -0.81,1.53 -1.43 8.61,0 0 0,30
14,00000001,00000101,0.9302368 -0.18328857 -0.14099121 -0.28497314,0.9388889 -1.33 -1.43,4.11 -1.28 7.82,0 0 0,30
15,00000001,00000101,0.9189453 -0.11651611 -0.21209717 -0.31140137,1.5355556 -0.23222223 -0.42777777,5.19 -0.73 10.86,0 0 0,30
16,00000001,00000101,0.93756104 0.013122559 -0.16040039 -0.30828857,2.4466667 2.22 0.045555554,1.8 0.89 9.74,0 0 0,30
17,00000001,00000101,0.9269409 0.22363281 -0.06378174 -0.29449463,2.9655557 2.7444444 -0.85555553,0.08 3.08 8.9,0 0 0,30
18,00000001,00000101,0.88775635 0.36383057 -0.0028076172 -0.2819214,0.8466667 1.42 0.007777778,-1.93 8.49 7.38,0 0 0,30
19,00000001,00000000,0.85687256 0.42956543 0.028503418 -0.28363037,1.3211111 0.54 -0.19444445,53.76 5.12 5.22,0 0 0,30
20,00000001,00000101,0.84210205 0.4736328 -0.01763916 -0.25738525,0.22777778 -1.1177778 0.2522222,-2.51 7.99 3.58,0 0 0,30
22,00000001,00000101,0.83691406 0.4584961 -0.074523926 -0.28948975,0.48666668 -1.2655555 0.15666667,-1.69 8.5 4.75,0 0 0,30
23,00000001,00000101,0.8386841 0.4510498 -0.08068848 -0.2944336,-0.5011111 0.20666666 -0.38333333,-0.22 7.58 4.94,0 0 0,30
24,00000001,00000101,0.83013916 0.45074463 -0.10437012 -0.31115723,0.29 -0.69 -0.12111111,-0.84 7.51 4.91,0 0 0,30
25,00000001,00000101,0.8240967 0.44818115 -0.11730957 -0.32598877,0.3 -0.014444444 -0.43333334,-1.08 7.16 5.68,0 0 0,30
26,00000001,00000101,0.81591797 0.45288086 -0.12976074 -0.33514404,-0.012222222 -0.32555556 0.08555555,-0.47 8.38 5.29,0 0 0,30
27,00000001,00000101,0.8099365 0.45684814 -0.13635254 -0.3416748,0.10333333 -0.033333335 -0.0022222223,-1.09 8.39 4.83,0 0 0,30
28,00000001,00000101,0.7969971 0.45721436 -0.13781738 -0.34399414,-0.18444444 -22.187778 -26.73889,-0.72 8.67 5.48,0 0 0,30
29,00000001,00000101,0.8222046 0.42871094 -0.13183594 -0.3503418,-0.9022222 -0.19111112 -0.12222222,-0.77 7.43 4.65,0 0 0,30
30,00000001,00000101,0.8587036 0.3474121 -0.10510254 -0.36175537,-1.0011111 -0.23666666 0.054444443,-1.13 6.84 7.19,0 0 0,30
32,00000001,00000101,0.8855591 0.26397705 -0.08380127 -0.3729248,-2.0133333 -0.37111112 0.05,-0.65 5.11 7.43,0 0 0,30
33,00000001,00000101,0.91241455 0.15594482 -0.041870117 -0.3760376,-1.9766667 0.22222222 0.028888889,-0.53 3.21 8.07,0 0 0,30
34,00000001,00000101,0.9257202 0.064941406 -0.010070801 -0.37243652,-1.4133333 -0.06111111 0.10333333,-0.48 1.99 9.98,0 0 0,30
35,00000001,00000101,0.92858887 0.025390625 0.013061523 -0.36999512,-0.6988889 0.011111111 -0.024444444,-0.71 0.93 9.3,0 0 0,30
36,00000001,00000101,0.92993164 -0.008544922 0.019958496 -0.36712646,-0.5711111 -0.104444444 0.07111111,-0.37 0.33 9.56,0 0 0,30
37,00000001,00000101,0.93011475 -0.0357666 0.032714844 -0.36401367,-0.46222222 -0.0044444446 0.025555555,-0.54 -0.6 9.25,0 0 0,30
38,00000001,00000101,0.9302368 -0.064941406 0.04284668 -0.3587036,-0.50666666 -0.023333333 0.03,-246.14 -0.01 -0.01,0 0 0,30
39,00000001,00000101,0.9286499 -0.093811035 0.055480957 -0.35461426,-0.55 -0.023333333 0.10888889,-0.62 -1.69 9.26,0 0 0,30
40,00000001,00000101,0.9260864 -0.13323975 0.076416016 -0.3446045,-1.2566667 0.21777777 0.22333333,-0.63 -2.59 9.41,0 0 0,30
42,00000001,00000101,0.9185791 -0.19024658 0.11853027 -0.3255005,-0.8655556 0.20444444 0.24555555,-1.16 -3.97 8.75,0 0 0,30
43,00000001,00000101,0.9165039 -0.20703125 0.13043213 -0.31640625,-0.0022222223 -0.06888889 -0.0011111111,-1.14 -4.07 7.93,0 0 0,30
44,00000001,00000101,0.9171753 -0.20788574 0.12841797 -0.31488037,0.043333333 -0.0022222223 0.015555556,-1.21 -4.37 8.46,0 0 0,30
45,00000001,00000101,0.91625977 -0.21508789 0.1326294 -0.31085205,-0.41444445 -0.086666666 0.15777777,-1.22 -4.49 8.23,0 0 0,30
46,00000001,00000101,0.9154663 -0.21716309 0.13891602 -0.30895996,-0.07333333 0.14222223 -0.0033333334,-1.12 -4.69 7.74,0 0 0,30
47,00000001,00000101,0.9063721 -0.20812988 0.13085938 -0.31311035,0.22555555 -0.10888889 -30.436666,-1.1 -4.81 7.92,0 0 0,30
48,00000001,00000101,0.9187622 -0.20471191 0.12817383 -0.31237793,-0.034444444 0.13666667 0.0011111111,-1.21 -4.3 8.37,0 0 0,30
49,00000001,00000101,0.91918945 -0.20037842 0.13220215 -0.31225586,0.15888889 0.07 0.02111111,-1.22 -4.23 8.43,0 0 0,30
