index,flag1,flag2,ori,avel,acce,mp,temp ( Big-Endian )
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
114,00100000,01110010,0.506958 0.506958 0.506958 0.506958,9.2288885 9.2288885 9.2288885,292.16 292.16 292.16,8306 8306 8306,32
