index,flag1,flag2,ori,avel,acce,mp,temp ( Big-Endian )
42,00000001,00000101,0.9800415 0.09820557 -0.09527588 0.14440918,0.43666667 -0.57666665 0.10555556,1.78 1.61 9.82,0 0 0,27
43,00000001,00000101,0.973999 0.11303711 -0.12762451 0.14904785,0.55444443 -0.5777778 0.24444444,2.58 1.92 9.18,0 0 0,27
44,00000001,00000101,0.96588135 0.12921143 -0.15222168 0.16497803,-0.26333332 -0.24666667 0.21333334,3.17 2.06 8.67,0 0 0,27
45,00000001,00000101,0.9644165 0.12957764 -0.14746094 0.1772461,0.025555555 0.24444444 0.12666667,3.19 1.8 9.14,0 0 0,27
46,00000001,00000101,0.9598999 0.1408081 -0.14752197 0.19226074,0.4188889 -0.10333333 0.46555555,3.44 2.54 8.84,0 0 0,27
47,00000001,00000101,0.9375 0.15112305 -0.13970947 0.22399902,0.41777778 0.05 32.143333,2.82 1.84 8.89,0 0 0,27
48,00000001,00000101,0.9434204 0.17883301 -0.12573242 0.24938965,0.89444447 0.35444444 0.43666667,3.19 2.79 8.83,0 0 0,27
49,00000001,00000101,0.9373169 0.1906128 -0.099487305 0.274292,0.41666666 0.39222223 0.32444444,2.59 2.57 8.86,0 0 0,27
50,00000001,00000101,0.9346924 0.19268799 -0.08190918 0.28735352,0.16888888 0.19888888 0.12111111,2.24 3.05 8.94,0 0 0,27
52,00000001,00000101,0.9300537 0.2052002 -0.06958008 0.29675293,0.40333334 0.20333333 0.16666667,2.47 3.3 8.38,0 0 0,27
53,00000001,00000101,0.9269409 0.20959473 -0.042236328 0.30828857,0.46444446 0.43333334 0.18111111,1.98 3.68 9.01,0 0 0,27
54,00000001,00000101,0.9224243 0.21380615 -0.02520752 0.3206787,0.20555556 0.24222222 0.21222222,1.67 3.84 8.84,0 0 0,27
55,00000001,00000101,0.92193604 0.2088623 -0.0068359375 0.32611084,0.09111111 0.3188889 -0.024444444,1.12 3.68 8.99,0 0 0,28
56,00000001,00000101,0.918396 0.21228027 0.009765625 0.33380127,0.11 0.30555555 0.1388889,1.05 4.06 8.96,0 0 0,28
57,00000001,00000101,0.9188843 0.20318604 0.025390625 0.33728027,0.09888889 0.2588889 -0.007777778,0.66 -1.32 -0.01,0 0 0,28
58,00000001,00000101,0.9211426 0.19647217 0.038391113 0.33374023,-0.083333336 0.18777777 -0.13444445,0.49 4.18 9.25,0 0 0,28
59,00000001,00000101,0.9227295 0.18609619 0.05340576 0.33325195,-0.17444444 0.32666665 -0.11111111,0.42 3.73 8.86,0 0 0,28
60,00000001,00000101,0.92614746 0.16265869 0.085754395 0.32928467,-0.53444445 0.82555556 -0.40888888,-1.1 3.87 9.44,0 0 0,28
62,00000001,00000101,0.93304443 0.13208008 0.10986328 0.315979,-0.41444445 0.26777777 -0.35,-1.3 3.25 9.49,0 0 0,28
63,00000001,00000101,0.9383545 0.10900879 0.11010742 0.309021,-0.30888888 0.031111112 -0.12555556,-1.38 2.66 9.12,0 0 0,28
64,00000001,00000101,0.9414673 0.08306885 0.11529541 0.30566406,-0.5 0.43888888 -0.25555557,-1.91 2.22 9.5,0 0 0,28
65,00000001,00000101,0.9448242 0.052368164 0.1260376 0.29785156,-0.36333334 0.22666667 -0.23,-2.04 1.92 9.7,0 0 0,28
66,00000001,00000101,0.9376221 0.047607422 0.13500977 0.29888916,-0.04777778 0.25333333 0.015555556,-2.59 1.83 9.7,0 0 0,28
67,00000001,00000101,0.94384766 0.035095215 0.1418457 0.2962036,-0.27666667 -0.0033333334 -0.21222222,-2.57 1.44 9.33,0 0 0,28
68,00000001,00000101,0.94903564 0.008666992 0.13110352 0.28637695,-0.51222223 0.014444444 -0.2911111,-2.47 0.81 9.53,0 0 0,28
69,00000001,00000101,0.95196533 -0.020874023 0.13470459 0.27423096,-0.32222223 0.37444445 -0.26444444,-2.64 0.35 9.63,0 0 0,28
70,00000001,00000101,0.9523926 -0.046813965 0.14471436 0.26416016,-0.31111112 0.015555556 -0.2588889,-3.2 -0.19 9.48,0 0 0,28
72,00000001,00000101,0.9558716 -0.06500244 0.13305664 0.2536621,-0.12555556 0.0033333334 -0.15222222,-2.69 -0.49 9.08,0 0 0,28
73,00000001,00000101,0.9550781 -0.077697754 0.13977051 0.24938965,-0.23333333 0.26 -0.07444444,-3.18 -1 9.35,0 0 0,28
74,00000001,00000101,0.95458984 -0.089904785 0.1437378 0.24505615,-0.27555555 0.12888889 -0.12888889,-3.37 -1.18 9.49,0 0 0,28
75,00000001,00000101,0.9591675 -0.09729004 0.13659668 0.22772217,-0.38444445 -0.10333333 -0.35666665,-3.17 -1.33 9.59,0 0 0,28
76,00000001,00000101,0.96173096 -0.11517334 0.12475586 0.21508789,-0.4077778 -0.03888889 -0.29,-2.83 -1.52 -297.98,0 0 0,28
77,00000001,00000101,0.9626465 -0.122802734 0.120666504 0.20898438,-0.22444445 0.083333336 -0.09777778,-2.86 -1.96 9.13,0 0 0,28
78,00000001,00000101,0.96362305 -0.1296997 0.11450195 0.20373535,-0.044444446 -0.115555555 -0.07444444,-2.6 -1.74 9.19,0 0 0,28
79,00000001,00000101,0.963562 -0.13720703 0.107666016 0.20275879,-0.21777777 0.045555554 0.045555554,-2.5 -1.97 9.24,0 0 0,28
80,00000001,00000101,0.96203613 -0.14208984 0.10595703 0.2076416,-0.12444445 -0.22555555 0.06,-2.7 -2.08 9.34,0 0 0,28
82,00000001,00000101,0.96221924 -0.14611816 0.095825195 0.2088623,0.045555554 0.016666668 0.07333333,-2.49 -2.44 9.31,0 0 0,28
83,00000001,00000101,0.9614868 -0.15167236 0.09503174 0.20861816,-0.17777778 -0.026666667 -0.052222222,-2.62 -2.65 9.14,0 0 0,28
84,00000001,00000101,0.96136475 -0.1697998 0.07318115 0.20397949,-0.4 -0.32333332 -0.20888889,-2.46 -2.8 9.5,0 0 0,28
85,00000001,00000101,0.9607544 0 0 -0.015625,-0.13444445 -0.12111111 0.05111111,-1.72 -3 8.95,0 0 0,28
86,00000001,00000101,0.9613037 -0.17108154 0.05114746 0.2098999,-0.086666666 -0.09222222 0.04222222,-1.48 -3.04 8.84,0 0 0,28
87,00000001,00000101,0.9647827 -0.14642334 0.044189453 0.2140503,1.28 -0.44666666 0.26,-1.61 -3.22 8.97,0 0 0,28
88,00000001,00000101,0.9684448 -0.09484863 0.03656006 0.22753906,0.8411111 -0.31666666 0.24222222,-1.32 -1.73 10.01,0 0 0,28
89,00000001,00000101,0.9688721 -0.018554688 0.03277588 0.2446289,1.3911111 -0.22666667 0.45777777,-1.04 -0.44 10.02,0 0 0,28
90,00000001,00000101,0.9644165 0.036499023 0.04260254 0.25830078,0.3911111 -0.18444444 0.1711111,-0.86 0.75 9.55,0 0 0,28
92,00000001,00000101,0.9597168 0.07714844 0.016357422 0.26971436,1.2755556 -1.0277778 0.55777776,0.3 1.69 9.82,0 0 0,28
93,00000001,00000101,0.9450073 0.13537598 -0.008300781 0.29766846,0.9522222 -0.6288889 0.63555557,0.96 2.17 9.17,0 0 0,28
94,00000001,00000101,0.93200684 0.16809082 -0.022460938 0.32037354,0.43333334 -0.011111111 0.37777779,0.92 2.49 9.23,0 0 0,28
95,00000001,00000101,0.92681885 0.18365479 -0.010192871 0.32739258,0.6155556 0.022222223 0.07666667,1.09 3.35 9.57,-3840 -17409 -234,28
96,00000001,00000101,0.9202881 0.20703125 0.0028686523 0.3319702,0.50222224 0.06555556 0.18777777,1.19 3.81 9.1,0 0 0,28
97,00000001,00000101,0.9104004 0.21942139 0.005554199 0.35064697,0.16222222 0.0033333334 0.2822222,1.27 3.8 8.61,0 0 0,28
98,00000001,00000101,0.9047241 0.2333374 0.0034179688 0.3564453,0.2777778 -0.062222224 0.09555556,1.51 4.09 8.69,0 0 0,28
99,00000001,00000101,0.90093994 0.24041748 0.0064697266 0.3612671,0.027777778 0.04111111 0.10666667,1.28 4.21 8.73,0 0 0,28
100,00000001,00000101,0.8989258 0.23712158 0.01184082 0.36816406,-0.2488889 0.25333333 -0.045555554,1.11 3.91 8.61,0 0 0,28
102,00000001,00000101,0.89959717 0.23571777 0.011169434 0.3673706,-0.36444443 0.05888889 -0.11111111,1.52 4.61 8.92,0 0 0,28
103,00000001,00000101,0.9075928 0.2142334 0.007019043 0.36102295,-0.41555557 -0.007777778 -0.062222224,1.28 3.77 8.73,0 0 0,28
104,00000001,00000101,0.91571045 0.18786621 0 -0.015625,-0.55777776 0.04888889 -0.14333333,1.22 3.57 9.29,0 0 0,28
105,00000001,00000101,0.92144775 0.16778564 -0.010192871 0.3503418,-0.4 -0.054444443 -0.018888889,1.18 3.06 9.33,0 0 0,28
106,00000001,00000101,0.92596436 0.14886475 -0.018859863 0.34655762,-0.5233333 0.02111111 -0.09,1.25 2.7 9.56,0 0 0,28
107,00000001,00000101,0.9324341 0.1274414 -0.02331543 0.33728027,-0.19555555 -0.07 -0.14333333,1 2.12 9.37,0 0 0,28
108,00000001,00000101,0.93377686 0.12664795 -0.02532959 0.33374023,0.13333334 0 -0.025555555,1.11 2.32 9.76,0 0 0,28
109,00000001,00000101,0.93463135 0.1262207 -0.032714844 0.33087158,-0.13333334 -0.22777778 -0.10222222,1.14 2.07 9.64,0 0 0,28
110,00000001,00000101,0.93640137 0.123291016 -0.048339844 0.32507324,0.028888889 -0.15777777 -0.07666667,1.37 1.72 9.36,0 0 0,28
112,00000001,00000101,0.9371338 0.12939453 -0.048095703 0.32043457,0.11111111 0.03888889 -0.046666667,1.73 2.4 9.69,0 0 0,28
113,00000001,00000101,0.9347534 0.13092041 -0.053527832 0.32598877,0.19888888 -0.13555555 0.19777778,1.71 1.84 9.3,0 0 0,28
114,00000001,00000101,0.9296875 0.15393066 -0.05419922 0.33026123,0.47111112 -0.2777778 -0.0022222223,1.87 2.46 9.78,0 256 -240,28
115,00000001,00000101,0.9206543 0.18005371 -0.0692749 0.33935547,0.016666668 -0.17333333 0.13111112,2.31 2.69 8.74,0 0 0,28
116,00000001,00000101,0.91796875 0.18218994 -0.066589355 0.3460083,-0.41111112 0.05666667 0.0055555557,2.15 2.73 9.53,0 0 0,28
117,00000001,00000101,0.91674805 0.1819458 -0.081970215 0.3460083,-0.32222223 -0.107777774 -0.15111111,2.61 2.8 9.92,0 0 0,28
118,00000001,00000101,0.92755127 0.14788818 -0.101867676 0.32769775,-1.3844445 0.09888889 -0.36222222,2.76 2.18 8.89,0 0 0,28
119,00000001,00000101,0.944397 0.086120605 -0.0949707 0.30273438,-2.2322223 1.0511111 -0.72444445,2.85 1.99 9.51,0 0 0,28
120,00000001,00000101,0.96191406 -0.020324707 -0.026855469 0.27130127,-0.74444443 1.1655556 -0.29666665,0.44 -0.22 9.27,0 0 0,28
122,00000001,00000101,0.9636841 -0.04852295 0.022338867 0.26159668,0.045555554 0.85444444 -0.05111111,-0.82 -0.39 10.63,0 0 0,28
123,00000001,00000101,0.9630127 -0.056762695 0.08300781 -0.015625,0.40555555 1.4933333 0.026666667,-3.4 -2.09 11.11,0 0 0,28
124,00000001,00000101,0.96520996 -0.026367188 0.11010742 0.23577881,-0.034444444 -0.6188889 -0.5588889,-0.35 0.32 8.45,0 0 0,28
125,00000001,00000101,0.9696655 -0.032836914 0.11260986 0.21459961,0.29 0.72333336 0.04111111,-1.7 0.22 8.99,0 0 0,28
126,00000001,00000101,0.9660034 -0.024475098 0.13208008 0.2210083,-0.55444443 -0.2888889 -0.035555556,-2.73 0.7 9.55,0 0 0,28
127,00000001,00000101,0.9703369 -0.036010742 0.10064697 0.21697998,0.25555557 -0.30666667 0.21555555,-2.69 -0.42 10.39,0 0 0,28
128,00000001,00000101,0.9719238 -0.02520752 0.085632324 0.21765137,0.023333333 -0.44333333 -0.22555555,-2.56 -0.03 9.75,0 0 0,28
129,00000001,00000101,0.97735596 -0.03503418 0.05255127 0.2019043,-0.007777778 -0.51666665 -0.06555556,-0.85 -0.17 9.53,0 0 0,28
130,00000001,00000101,0.9789429 -0.03869629 0.040161133 0.19628906,-0.075555556 -0.064444445 -0.08888889,-0.81 -0.72 9.53,0 0 0,28
132,00000001,00000101,0.98101807 -0.06616211 0.028442383 0.17999268,-0.8211111 -0.17222223 -0.60444444,-1.02 -1.32 9.6,0 0 0,28
133,00000001,00000101,0.9788208 -0.16552734 0.023498535 0.11816406,-3.6288888 0.9811111 -2.1866667,-1.25 -3.36 8.87,0 0 -256,28
134,00000001,00000101,0.90423584 -0.42126465 0.06903076 0.013305664,-5.248889 1.7744445 -1.5444444,-1.73 -5.85 5.87,0 0 0,28
135,00000001,00000101,0.81018066 -0.58166504 0.06665039 -0.028259277,-2.1077778 -0.33333334 -0.88666666,-1.14 -9.39 3.05,0 0 0,28
136,00000001,00000101,0.74542236 -0.6646118 0.026977539 -0.04449463,-0.93666667 0.015555556 -0.39333335,0.95 -8.65 1.17,0 0 0,28
137,00000001,00000101,0.73724365 -0.673645 0.03741455 -0.03515625,-0.20888889 0.06333333 0.57666665,-1.7 -11 0.76,0 0 0,28
138,00000001,00000101,0.7232666 -0.6894531 0.028747559 -0.026367188,-0.32555556 0.043333333 0.19111112,0.28 -9.57 0.49,0 0 0,28
139,00000001,00000101,0.73321533 -0.6774292 0.043884277 -0.03967285,0.112222224 0.18555556 -0.25555557,-0.35 -9.61 1.52,0 0 0,28
140,00000001,00000101,0.7297363 -0.6809082 0.041015625 -0.046875,-0.21222222 -0.13666667 0.13111112,0.18 -9.07 0.63,0 0 0,28
142,00000001,00000101,0.725708 -0.68548584 0.0423584 -0.040527344,0.02111111 -0.031111112 0.06888889,-0.11 -9.44 0.35,0 0 0,28
143,00000001,00000101,0.72210693 -0.6893921 0.04248047 -0.03765869,-0.032222223 -0.018888889 -0.024444444,-0.08 -9.68 0.95,0 0 0,28
144,00000001,00000101,0.7184448 -0.692688 0.04498291 -0.044921875,-0.38222224 -0.0022222223 -0.072222225,-0.04 -9.33 0.52,0 0 0,28
145,00000001,00000101,0.71032715 -0.7005005 0.04901123 -0.047851562,-0.24222222 0.14333333 0.037777778,-0.16 -9.6 0.54,0 0 0,28
146,00000011,00000101,0.70910645 -0.7019043 0.04711914 -0.04748535,0.14777778 -0.18333334 -0.037777778,0.14 -9.37 -0.01,0 0 0,28
147,00000011,00000101,0.70788574 -0.703125 0.047851562 -0.04724121,-0.15111111 0.115555555 0.08222222,0 -9.36 0.25,0 0 0,28
148,00000011,00000101,0.7078247 -0.7030029 0.05029297 -0.047058105,0.02111111 0.016666668 0.036666665,-0.04 -9.41 0.18,0 0 0,28
149,00000011,00000101,0.7074585 -0.70336914 0.05114746 -0.046569824,-0.04888889 0.01 0.017777778,-0.12 -9.46 0.18,0 0 0,28
150,00000011,00000101,0.7085571 -0.7022095 0.051635742 -0.04736328,0.025555555 0.054444443 0.027777778,0 -9.42 0.25,0 0 0,28
152,00000011,00000101,0.7084961 -0.70233154 0.051757812 -0.045654297,-0.033333335 -0.062222224 0.05111111,0.07 -9.35 0.18,0 0 0,28
153,00000011,00000101,0.7093506 -0.701355 0.054260254 -0.044433594,0.06555556 0.057777777 0.10555556,-0.2 -9.39 0.2,0 0 0,28
154,00000011,00000101,0.7105713 -0.70007324 0.05517578 -0.043762207,0.07333333 -0.024444444 0.044444446,-0.23 -9.66 0.35,0 0 0,28
155,00000011,00000101,0.70983887 -0.70098877 0.0546875 -0.042114258,-0.07666667 -0.07111111 0.0044444446,-0.19 -9.51 0.21,0 0 0,28
156,00000011,00000101,0.7108154 -0.7000122 0.05480957 -0.041931152,0.072222225 0.03888889 0.04888889,-0.16 -9.3 0.16,0 0 0,28
157,00000011,00000101,0.7119751 -0.69866943 0.0569458 -0.041259766,0.04 0.04111111 0.08777778,-0.22 -9.54 0.37,0 0 0,28
158,00000011,00000101,0.71221924 -0.6984253 0.057373047 -0.040100098,-0.016666668 -0.043333333 0.0055555557,-0.17 -9.52 0.32,0 0 0,28
159,00000011,00000101,0.7130127 -0.6976929 0.05706787 -0.039489746,0.033333335 -0.028888889 0.04111111,-0.18 -9.52 0.34,0 0 0,28
160,00000011,00000101,0.7137451 -0.6970825 0.05682373 -0.03765869,0.022222223 -0.06888889 0.06333333,-0.22 -9.6 0.21,0 0 0,28
162,00000011,00000101,0.71258545 -0.69836426 0.057434082 -0.03515625,-0.067777775 -0.046666667 0.06888889,-28.48 -9.7 0.17,0 0 0,28
163,00000011,00000101,0.713562 -0.6972656 0.058410645 -0.03503418,0.07333333 0.054444443 0.035555556,-0.31 -9.59 0.41,0 0 0,28
164,00000011,00000101,0.71435547 -0.6963501 0.060058594 -0.03515625,0.023333333 0.036666665 0.04,-0.35 -9.74 0.34,0 0 0,28
165,00000011,00000101,0.713562 -0.6972656 0.059570312 -0.03363037,-0.075555556 -0.08222222 0,-0.37 -9.68 0.25,0 0 0,28
166,00000011,00000101,0.7138672 -0.69696045 0.059265137 -0.033569336,0.06333333 0.033333335 0.034444444,-0.25 -9.47 0.26,0 0 0,28
167,00000011,00000101,0.7144165 -0.69641113 0.0602417 -0.03186035,-0.0022222223 -0.04111111 0.072222225,-0.41 -9.57 0.19,0 0 0,28
168,00000011,00000101,0.7149048 -0.6958008 0.06121826 -0.031433105,0.03 0.036666665 0.04777778,-0.44 -9.7 0.28,0 0 0,28
169,00000011,00000101,0.71539307 -0.69525146 0.061523438 -0.031433105,0.018888889 -0.0011111111 -0.006666667,-0.41 -9.67 0.49,0 0 0,28
170,00000011,00000101,0.703125 -0.6963501 0.06085205 -0.030700684,-0.094444446 17.634445 19.053333,-0.44 -9.61 0.23,0 0 0,28
172,00000011,00000101,0.7144165 -0.69647217 0.060058594 -0.029846191,-0.01 -0.0011111111 0.014444444,-0.37 -9.54 0.21,0 0 0,28
173,00000011,00000101,0.7138672 -0.6970215 0.060424805 -0.029663086,-0.022222223 -0.0033333334 0.013333334,-0.43 -9.65 0.12,0 0 0,28
174,00000011,00000101,0.7136841 -0.6972046 0.060668945 -0.029907227,-0.024444444 0.027777778 -0.0011111111,-0.43 -9.69 0.31,0 0 0,28
175,00000011,00000101,0.71533203 -0.69555664 0.0602417 -0.029846191,0.14 -0.02 -0.0011111111,-0.32 -9.43 0.7,0 0 0,28
176,00000011,00000101,0.7151489 -0.6956177 0.061645508 -0.029541016,-0.101111114 -0.013333334 0.06111111,-0.55 -9.65 0.25,0 0 0,28
177,00000011,00000101,0.7126465 -0.69854736 0.05908203 -0.025939941,-0.15888889 -0.17 -0.0044444446,-0.41 -9.85 0.22,0 0 0,28
178,00000011,00000101,0.7126465 -0.6987915 0.05670166 -0.025268555,0.078888886 -0.055555556 -0.075555556,-0.46 -9.54 0.02,0 0 0,28
179,00000011,00000101,0.71380615 -0.6975708 0.056274414 -0.026855469,0.12222222 0.05 -0.02,-0.37 -9.5 0.12,0 0 0,28
180,00000011,00000101,0.7183838 -0.6929321 0.055725098 -0.026306152,0.39444444 -0.08 0.043333333,124.96 -2.56 -0.01,0 0 0,28
182,00000011,00000101,0.7272949 -0.6837158 0.053771973 -0.02508545,0.47444445 -0.10666667 -0.0055555557,-0.44 -9.75 0.9,0 0 0,28
183,00000011,00000101,0.7304077 -0.680603 0.05114746 -0.024841309,0.29444444 -0.13777778 -0.064444445,-0.27 -9.61 0.6,0 0 0,28
184,00000011,00000101,0.73657227 -0.67407227 0.0491333 -0.02532959,0.28666666 0.07444444 -0.028888889,-0.28 -9.47 0.91,0 0 0,28
185,00000011,00000101,0.74401855 -0.66589355 0.049316406 -0.02508545,0.57666665 -0.09555556 0.057777777,-0.37 -9.39 0.91,0 0 0,28
186,00000011,00000101,0.7503662 -0.6588745 0.048339844 -0.0234375,0.19888888 -0.027777778 0.045555554,-0.44 -9.75 1.17,0 0 0,28
187,00000011,00000101,0.76501465 -0.6422119 0.04333496 -0.021484375,1.21 -0.27888888 -0.06666667,-0.41 -9.59 1.73,0 0 0,28
188,00000011,00000101,0.7772827 -0.62731934 0.041381836 -0.023071289,0.51222223 0.12888889 -0.045555554,-0.23 -9.4 2.01,0 0 0,28
189,00000011,00000101,0.78131104 -0.6054077 0.038269043 -0.02142334,1.2455555 -0.24111111 -33.851112,-0.37 -9.4 2.4,0 0 0,28
190,00000011,00000101,0.81188965 -0.58239746 0.035888672 -0.01977539,1.0033333 -0.0022222223 0.055555556,-0.25 -9.13 3.28,0 0 0,28
192,00000011,00000101,0.8353882 -0.548584 0.03173828 -0.014831543,2.2822223 -0.48555556 0.14444445,-0.3 -9.04 3.42,0 0 0,28
193,00000011,00000101,0.862854 -0.5048218 0.024475098 -0.009033203,2.0077777 -0.27444443 0.11888889,-0.26 -8.61 4.57,0 0 0,28
194,00000011,00000101,0.8969116 -0.4418335 0.017028809 0.00012207031,2.741111 -0.44 0.24666667,-0.31 -7.84 5.66,0 0 0,28
195,00000011,00000101,0.91589355 -0.40100098 0.017089844 0.0061035156,1.7188889 -0.05888889 0.24222222,-0.4 -7.27 6.52,0 0 0,28
196,00000011,00000101,0.9379883 -0.3460083 0.0146484375 0.015686035,2.711111 -0.32444444 0.40333334,-0.4 -6.67 7.34,0 0 0,28
197,00000011,00000101,0.9539795 -0.29852295 0.018005371 0.022155762,1.2766666 0.15222222 0.19333333,-0.48 -5.34 8.09,0 0 0,28
198,00000011,00000101,0.9616699 -0.27191162 0.022399902 0.026550293,1.4477777 -0.037777778 0.32333332,-0.68 -5.43 8.48,0 0 0,28
199,00000011,00000101,0.97058105 -0.23718262 0.02154541 0.035888672,1.2477778 -0.20444444 0.37333333,-0.6 -1.76 -0.01,0 0 0,28
200,00000011,00000101,0.97717285 -0.20672607 0.016723633 0.046142578,1.4666667 -0.49 0.39555556,-0.66 -4.2 8.59,0 0 0,28
202,00000011,00000101,0.9852905 -0.159729 0.0022583008 0.060424805,1.5755556 -0.67777777 0.3988889,-0.33 -2.88 9.31,0 0 0,28
203,00000011,00000101,0.98931885 -0.12512207 -0.0048217773 0.07470703,1.4 -0.37888888 0.59444445,-0.16 -2.6 9.54,0 0 0,28
204,00000011,00000101,0.9911499 -0.09893799 -0.007873535 0.0881958,0.8611111 -0.19333333 0.5477778,-0.07 -2.34 9.38,0 0 0,28
