index,flag1,flag2,ori,avel,acce,mp,temp ( Big-Endian )
1,00000001,00000101,0.9867554 -0.074523926 -0.026306152 0.14160156,0.06555556 -0.025555555 0.007777778,0.2 -1.56 9.58,0 0 0,27
2,00000001,00000101,0.9866333 -0.07574463 -0.0256958 0.14202881,-0.057777777 0.027777778 -0.0011111111,0.12 -1.5 9.63,0 0 0,27
3,00000001,00000101,0.98657227 -0.07598877 -0.02746582 0.14190674,-0.032222223 -0.0044444446 -0.011111111,0.25 -1.59 9.58,0 0 0,27
4,00000001,00000101,0.9866333 -0.07623291 -0.028015137 0.14141846,-0.018888889 -0.023333333 0.007777778,0.27 -1.5 9.66,0 0 0,27
5,00000001,00000101,0.98638916 -0.078308105 -0.028808594 0.14172363,-0.03 0.03 0.0044444446,0.3 -1.68 9.75,0 0 0,27
6,00000001,00000101,0.9864502 -0.07775879 -0.029052734 0.14141846,0.006666667 -0.0055555557 0.008888889,0.22 -1.49 9.72,0 0 0,27
7,00000001,00000101,0.98620605 -0.08319092 -0.029052734 0.13995361,-0.14888889 -0.04 -0.064444445,0.23 -1.71 9.68,0 0 0,27
8,00000001,00000101,0.98498535 -0.10095215 -0.03186035 0.13659668,-0.31111112 0.015555556 -0.01,0.33 -1.88 9.88,0 0 0,27
9,00000001,00000101,0.9795532 -0.1394043 -0.04333496 0.1381836,-1.5533333 -0.013333334 -0.15333334,0.4 -2.87 9.24,0 0 0,27
10,00000001,00000101,0.97387695 -0.18066406 -0.043884277 0.1305542,-1.1022222 0.3988889 -0.13222222,0.35 -3.4 9.26,0 0 0,27
12,00000001,00000101,0.96313477 -0.23730469 -0.033325195 0.12225342,-0.8488889 0.48 -0.08,0.18 -4.37 8.87,0 0 0,27
13,00000001,00000101,0.9578247 -0.26190186 -0.03112793 0.1138916,-0.4311111 -0.067777775 -0.20777778,-0.1 -4.93 8.49,0 0 0,27
14,00000001,00000101,0.9500122 -0.2915039 -0.032165527 0.10723877,-0.44444445 0.09 0.024444444,-0.02 -5.3 8.15,0 0 0,27
15,00000001,00000101,0.9380493 -0.3270874 -0.046020508 0.10449219,-0.14444445 -0.39666668 -0.29555556,0.3 -5.85 7.74,0 0 0,27
16,00000001,00000101,0.93621826 -0.33551025 -0.04498291 0.09448242,0.07444444 0.14222223 -0.09,0.03 -6.03 7.45,0 0 0,27
17,00000001,00000101,0.9321289 -0.34783936 -0.04473877 0.09033203,-0.20222223 -0.09111111 -0.044444446,0.06 -6.35 7.3,0 0 0,27
18,00000001,00000101,0.9257202 -0.3656006 -0.044799805 0.0859375,-1.0966667 0.42666668 0.016666668,0.22 -6.27 7.02,0 0 0,27
19,00000001,00000100,0.9225464 -0.3734131 -0.045715332 0.085998535,0.023333333 -0.057777777 -0.10555556,0 -6.7 6.89,0 0 0,27
20,00000001,00000101,0.9251709 -0.36743164 -0.047607422 0.08227539,0.2588889 -0.031111112 -0.10333333,0.15 -6.77 7.11,0 0 0,27
22,00000001,00000101,0.92266846 -0.3753662 -0.04534912 0.076049805,0.05 -0.14 -0.03,0.28 -6.7 6.9,0 0 0,27
23,00000001,00000101,0.9205322 -0.38000488 -0.045532227 0.07867432,0.12111111 -0.04222222 0.05666667,0.12 -6.82 7.11,0 0 0,27
24,00000001,00000101,0.932312 -0.35021973 -0.0413208 0.080444336,1.0444444 -0.053333335 -0.037777778,0 -6.67 7.22,0 0 0,27
25,00000001,00000101,0.9506836 -0.29833984 -0.041137695 0.07385254,0.8066667 0.04222222 -0.13444445,0.32 -5.43 7.91,0 0 0,27
26,00000001,00000101,0.9605713 -0.26641846 -0.036315918 0.070373535,0.5711111 0.016666668 -0.043333333,0.21 -4.94 8.41,0 0 0,27
27,00000001,00000101,0.96881104 -0.23480225 -0.03753662 0.06976318,0.47777778 -0.046666667 -0.07777778,0.17 -4.49 8.65,0 0 0,27
28,00000001,00000101,0.96881104 -0.20355225 -0.036254883 0.066223145,0.5366667 17.635555 -25.6,0.33 -3.82 8.98,0 0 0,27
29,00000001,00000101,0.9821167 -0.17370605 -0.030334473 0.06616211,0.7588889 -0.015555556 0.04,0.14 -3.61 9.25,0 0 0,27
30,00000001,00000101,0.9923096 -0.10241699 -0.022583008 0.06536865,1.1877778 -0.022222223 -0.072222225,0.05 -2.04 9.47,0 0 0,27
32,00000001,00000101,0.9938965 -0.085632324 -0.023986816 0.06488037,0.2211111 -0.12777779 0.17777778,0.24 -1.69 9.79,0 0 0,27
33,00000001,00000101,0.9951782 -0.053222656 -0.026855469 0.07788086,0.89555556 -0.21 0.20777778,0.13 -1.37 9.66,0 0 0,27
34,00000001,00000101,0.99572754 -0.024230957 -0.032165527 0.08312988,0.41333333 -0.10333333 0.05888889,0.42 -0.37 9.82,0 0 0,27
35,00000001,00000101,0.99542236 -0.0038452148 -0.030700684 0.09033203,0.6722222 -0.18 0.19555555,0.36 -0.32 10.01,0 0 0,27
36,00000001,00000101,0.99487305 0.014831543 -0.0357666 0.09375,0.16777778 -0.11444444 0.104444444,0.47 0.16 9.87,0 0 0,27
37,00000001,00000101,0.99365234 0.024414062 -0.042053223 0.10131836,0.035555556 -0.16111112 0.19,0.77 0.4 9.77,0 0 0,27
38,00000001,00000101,0.9911499 0.038513184 -0.06188965 0.11102295,0.38111112 -0.26777777 0.15555556,257.33 -2.55 -0.01,0 0 0,27
39,00000001,00000101,0.987854 0.066345215 -0.066345215 0.12365723,0.53333336 -0.23777778 0.23,1.35 1.29 9.8,0 0 0,27
40,00000001,00000101,0.9838867 0.0826416 -0.083496094 0.13494873,0.32222223 -0.27333334 0.24111111,1.63 1.49 9.53,0 0 0,27
